source,target,type
realDonaldTrump,DonaldJTrumpJr,seed_follows
realDonaldTrump,Jim_Jordan,seed_follows
realDonaldTrump,DiamondandSilk,seed_follows
realDonaldTrump,seanhannity,seed_follows
realDonaldTrump,IvankaTrump,seed_follows
realDonaldTrump,TuckerCarlson,seed_follows
realDonaldTrump,IngrahamAngle,seed_follows
realDonaldTrump,JudgeJeanine,seed_follows
realDonaldTrump,kimguilfoyle,seed_follows
realDonaldTrump,EricTrump,seed_follows
realDonaldTrump,MELANIATRUMP,seed_follows
realDonaldTrump,DanScavino,seed_follows
realDonaldTrump,LouDobbs,seed_follows
realDonaldTrump,Mike_Pence,seed_follows
realDonaldTrump,BillOReilly,seed_follows
realDonaldTrump,TiffanyATrump,seed_follows
realDonaldTrump,KellyannePolls,seed_follows
realDonaldTrump,meremere28,seed_follows
realDonaldTrump,realtrumpcoins1,seed_follows
realDonaldTrump,worldlibertyfi,seed_follows
realDonaldTrump,elonmusk,seed_follows
realDonaldTrump,SpeakerMcCarthy,seed_follows
realDonaldTrump,SenMcConnell,seed_follows
realDonaldTrump,MarkMeadows,seed_follows
realDonaldTrump,MariaBartiromo,seed_follows
realDonaldTrump,RonnaMcDaniel,seed_follows
realDonaldTrump,parscale,seed_follows
realDonaldTrump,PressSec45,seed_follows
realDonaldTrump,JesseBWatters,seed_follows
realDonaldTrump,WhiteHouse45,seed_follows
realDonaldTrump,Scavino45,seed_follows
realDonaldTrump,Reince,seed_follows
realDonaldTrump,RealRomaDowney,seed_follows
realDonaldTrump,Trump,seed_follows
realDonaldTrump,TrumpGolf,seed_follows
realDonaldTrump,TeamTrump,seed_follows
realDonaldTrump,MrsVanessaTrump,seed_follows
realDonaldTrump,LaraLeaTrump,seed_follows
realDonaldTrump,CLewandowski_,seed_follows
realDonaldTrump,KatrinaCampins,seed_follows
realDonaldTrump,foxandfriends,seed_follows
realDonaldTrump,GeraldoRivera,seed_follows
realDonaldTrump,ericbolling,seed_follows
realDonaldTrump,MarkBurnettTV,seed_follows
realDonaldTrump,garyplayer,seed_follows
realDonaldTrump,VinceMcMahon,seed_follows
realDonaldTrump,TrumpDoral,seed_follows
realDonaldTrump,TrumpCharlotte,seed_follows
realDonaldTrump,TrumpLasVegas,seed_follows
realDonaldTrump,TrumpChicago,seed_follows
realDonaldTrump,TrumpGolfDC,seed_follows
realDonaldTrump,TrumpGolfLA,seed_follows
realDonaldTrump,greta,seed_follows
elonmusk,DonaldJTrumpJr,follow_back_within_seed
elonmusk,SpeakerMcCarthy,follow_back_within_seed
elonmusk,seanhannity,follow_back_within_seed
WhiteHouse45,Mike_Pence,follow_back_within_seed
WhiteHouse45,KellyannePolls,follow_back_within_seed
WhiteHouse45,Scavino45,follow_back_within_seed
WhiteHouse45,PressSec45,follow_back_within_seed
WhiteHouse45,realDonaldTrump,follow_back_within_seed
DonaldJTrumpJr,Jim_Jordan,follow_back_within_seed
DonaldJTrumpJr,DiamondandSilk,follow_back_within_seed
IvankaTrump,MELANIATRUMP,follow_back_within_seed
IvankaTrump,DonaldJTrumpJr,follow_back_within_seed
IvankaTrump,Jim_Jordan,follow_back_within_seed
IvankaTrump,DiamondandSilk,follow_back_within_seed
IvankaTrump,SpeakerMcCarthy,follow_back_within_seed
IvankaTrump,seanhannity,follow_back_within_seed
seanhannity,elonmusk,follow_back_within_seed
seanhannity,realDonaldTrump,follow_back_within_seed
Jim_Jordan,SpeakerMcCarthy,follow_back_within_seed
Jim_Jordan,JesseBWatters,follow_back_within_seed
Jim_Jordan,DonaldJTrumpJr,follow_back_within_seed
Jim_Jordan,seanhannity,follow_back_within_seed
Jim_Jordan,elonmusk,follow_back_within_seed
EricTrump,TrumpDoral,follow_back_within_seed
EricTrump,TrumpGolf,follow_back_within_seed
EricTrump,CLewandowski_,follow_back_within_seed
EricTrump,TrumpChicago,follow_back_within_seed
EricTrump,TrumpLasVegas,follow_back_within_seed
EricTrump,parscale,follow_back_within_seed
EricTrump,TrumpCharlotte,follow_back_within_seed
EricTrump,LaraLeaTrump,follow_back_within_seed
EricTrump,MrsVanessaTrump,follow_back_within_seed
EricTrump,Trump,follow_back_within_seed
EricTrump,TrumpGolfLA,follow_back_within_seed
EricTrump,MELANIATRUMP,follow_back_within_seed
EricTrump,SenMcConnell,follow_back_within_seed
EricTrump,KatrinaCampins,follow_back_within_seed
EricTrump,DiamondandSilk,follow_back_within_seed
EricTrump,kimguilfoyle,follow_back_within_seed
EricTrump,DanScavino,follow_back_within_seed
Mike_Pence,SpeakerMcCarthy,follow_back_within_seed
Mike_Pence,RonnaMcDaniel,follow_back_within_seed
Mike_Pence,WhiteHouse45,follow_back_within_seed
Mike_Pence,DanScavino,follow_back_within_seed
PressSec45,seanhannity,follow_back_within_seed
PressSec45,EricTrump,follow_back_within_seed
PressSec45,IngrahamAngle,follow_back_within_seed
PressSec45,MariaBartiromo,follow_back_within_seed
PressSec45,DanScavino,follow_back_within_seed
PressSec45,LouDobbs,follow_back_within_seed
PressSec45,RonnaMcDaniel,follow_back_within_seed
PressSec45,Mike_Pence,follow_back_within_seed
PressSec45,TiffanyATrump,follow_back_within_seed
PressSec45,MarkMeadows,follow_back_within_seed
PressSec45,Jim_Jordan,follow_back_within_seed
PressSec45,ericbolling,follow_back_within_seed
PressSec45,BillOReilly,follow_back_within_seed
PressSec45,JesseBWatters,follow_back_within_seed
PressSec45,JudgeJeanine,follow_back_within_seed
PressSec45,LaraLeaTrump,follow_back_within_seed
IngrahamAngle,Jim_Jordan,follow_back_within_seed
IngrahamAngle,DiamondandSilk,follow_back_within_seed
IngrahamAngle,SpeakerMcCarthy,follow_back_within_seed
IngrahamAngle,seanhannity,follow_back_within_seed
IngrahamAngle,TiffanyATrump,follow_back_within_seed
JudgeJeanine,MELANIATRUMP,follow_back_within_seed
JudgeJeanine,GeraldoRivera,follow_back_within_seed
JudgeJeanine,Jim_Jordan,follow_back_within_seed
JudgeJeanine,DiamondandSilk,follow_back_within_seed
JudgeJeanine,SpeakerMcCarthy,follow_back_within_seed
JudgeJeanine,seanhannity,follow_back_within_seed
JudgeJeanine,elonmusk,follow_back_within_seed
MELANIATRUMP,IvankaTrump,follow_back_within_seed
MELANIATRUMP,DanScavino,follow_back_within_seed
MELANIATRUMP,EricTrump,follow_back_within_seed
MELANIATRUMP,foxandfriends,follow_back_within_seed
MELANIATRUMP,realDonaldTrump,follow_back_within_seed
MELANIATRUMP,MariaBartiromo,follow_back_within_seed
MELANIATRUMP,elonmusk,follow_back_within_seed
JesseBWatters,Jim_Jordan,follow_back_within_seed
JesseBWatters,DiamondandSilk,follow_back_within_seed
JesseBWatters,SpeakerMcCarthy,follow_back_within_seed
JesseBWatters,seanhannity,follow_back_within_seed
JesseBWatters,foxandfriends,follow_back_within_seed
JesseBWatters,ericbolling,follow_back_within_seed
JesseBWatters,greta,follow_back_within_seed
JesseBWatters,parscale,follow_back_within_seed
JesseBWatters,BillOReilly,follow_back_within_seed
JesseBWatters,Mike_Pence,follow_back_within_seed
JesseBWatters,realDonaldTrump,follow_back_within_seed
JesseBWatters,Reince,follow_back_within_seed
JesseBWatters,kimguilfoyle,follow_back_within_seed
JesseBWatters,TuckerCarlson,follow_back_within_seed
KellyannePolls,MrsVanessaTrump,follow_back_within_seed
KellyannePolls,Trump,follow_back_within_seed
KellyannePolls,Jim_Jordan,follow_back_within_seed
KellyannePolls,DiamondandSilk,follow_back_within_seed
KellyannePolls,SpeakerMcCarthy,follow_back_within_seed
KellyannePolls,seanhannity,follow_back_within_seed
BillOReilly,GeraldoRivera,follow_back_within_seed
BillOReilly,seanhannity,follow_back_within_seed
BillOReilly,kimguilfoyle,follow_back_within_seed
BillOReilly,IngrahamAngle,follow_back_within_seed
BillOReilly,MariaBartiromo,follow_back_within_seed
BillOReilly,EricTrump,follow_back_within_seed
BillOReilly,greta,follow_back_within_seed
BillOReilly,KellyannePolls,follow_back_within_seed
BillOReilly,DonaldJTrumpJr,follow_back_within_seed
SpeakerMcCarthy,Jim_Jordan,follow_back_within_seed
SpeakerMcCarthy,seanhannity,follow_back_within_seed
SpeakerMcCarthy,elonmusk,follow_back_within_seed
SpeakerMcCarthy,JesseBWatters,follow_back_within_seed
SpeakerMcCarthy,ericbolling,follow_back_within_seed
SpeakerMcCarthy,foxandfriends,follow_back_within_seed
SpeakerMcCarthy,greta,follow_back_within_seed
SpeakerMcCarthy,parscale,follow_back_within_seed
SpeakerMcCarthy,Reince,follow_back_within_seed
TeamTrump,EricTrump,follow_back_within_seed
TeamTrump,kimguilfoyle,follow_back_within_seed
TeamTrump,DanScavino,follow_back_within_seed
TeamTrump,TiffanyATrump,follow_back_within_seed
TeamTrump,KellyannePolls,follow_back_within_seed
TeamTrump,elonmusk,follow_back_within_seed
TeamTrump,MariaBartiromo,follow_back_within_seed
TeamTrump,TuckerCarlson,follow_back_within_seed
DiamondandSilk,kimguilfoyle,follow_back_within_seed
DiamondandSilk,TiffanyATrump,follow_back_within_seed
DiamondandSilk,WhiteHouse45,follow_back_within_seed
DiamondandSilk,elonmusk,follow_back_within_seed
DiamondandSilk,seanhannity,follow_back_within_seed
DiamondandSilk,TuckerCarlson,follow_back_within_seed
DiamondandSilk,DanScavino,follow_back_within_seed
DiamondandSilk,IvankaTrump,follow_back_within_seed
DiamondandSilk,LaraLeaTrump,follow_back_within_seed
DiamondandSilk,TeamTrump,follow_back_within_seed
DiamondandSilk,EricTrump,follow_back_within_seed
DiamondandSilk,JesseBWatters,follow_back_within_seed
DiamondandSilk,MELANIATRUMP,follow_back_within_seed
DiamondandSilk,realDonaldTrump,follow_back_within_seed
DiamondandSilk,LouDobbs,follow_back_within_seed
DiamondandSilk,DonaldJTrumpJr,follow_back_within_seed
DiamondandSilk,Mike_Pence,follow_back_within_seed
DiamondandSilk,CLewandowski_,follow_back_within_seed
LouDobbs,MELANIATRUMP,follow_back_within_seed
LouDobbs,DiamondandSilk,follow_back_within_seed
LouDobbs,SpeakerMcCarthy,follow_back_within_seed
LouDobbs,BillOReilly,follow_back_within_seed
LouDobbs,TuckerCarlson,follow_back_within_seed
LouDobbs,Scavino45,follow_back_within_seed
LouDobbs,CLewandowski_,follow_back_within_seed
kimguilfoyle,DiamondandSilk,follow_back_within_seed
kimguilfoyle,SpeakerMcCarthy,follow_back_within_seed
kimguilfoyle,ericbolling,follow_back_within_seed
kimguilfoyle,foxandfriends,follow_back_within_seed
VinceMcMahon,realDonaldTrump,follow_back_within_seed
DanScavino,ericbolling,follow_back_within_seed
DanScavino,foxandfriends,follow_back_within_seed
DanScavino,parscale,follow_back_within_seed
DanScavino,CLewandowski_,follow_back_within_seed
DanScavino,Reince,follow_back_within_seed
DanScavino,Jim_Jordan,follow_back_within_seed
DanScavino,SpeakerMcCarthy,follow_back_within_seed
DanScavino,Mike_Pence,follow_back_within_seed
DanScavino,LouDobbs,follow_back_within_seed
DanScavino,realDonaldTrump,follow_back_within_seed
DanScavino,kimguilfoyle,follow_back_within_seed
DanScavino,JudgeJeanine,follow_back_within_seed
DanScavino,TuckerCarlson,follow_back_within_seed
DanScavino,EricTrump,follow_back_within_seed
DanScavino,IvankaTrump,follow_back_within_seed
DanScavino,LaraLeaTrump,follow_back_within_seed
DanScavino,elonmusk,follow_back_within_seed
DanScavino,DonaldJTrumpJr,follow_back_within_seed
DanScavino,JesseBWatters,follow_back_within_seed
LaraLeaTrump,Jim_Jordan,follow_back_within_seed
LaraLeaTrump,SpeakerMcCarthy,follow_back_within_seed
LaraLeaTrump,foxandfriends,follow_back_within_seed
LaraLeaTrump,parscale,follow_back_within_seed
LaraLeaTrump,ericbolling,follow_back_within_seed
LaraLeaTrump,greta,follow_back_within_seed
LaraLeaTrump,DiamondandSilk,follow_back_within_seed
LaraLeaTrump,kimguilfoyle,follow_back_within_seed
LaraLeaTrump,EricTrump,follow_back_within_seed
LaraLeaTrump,MELANIATRUMP,follow_back_within_seed
LaraLeaTrump,JudgeJeanine,follow_back_within_seed
LaraLeaTrump,LouDobbs,follow_back_within_seed
LaraLeaTrump,realDonaldTrump,follow_back_within_seed
LaraLeaTrump,KatrinaCampins,follow_back_within_seed
LaraLeaTrump,Reince,follow_back_within_seed
LaraLeaTrump,seanhannity,follow_back_within_seed
LaraLeaTrump,DonaldJTrumpJr,follow_back_within_seed
LaraLeaTrump,BillOReilly,follow_back_within_seed
LaraLeaTrump,Mike_Pence,follow_back_within_seed
LaraLeaTrump,TrumpGolfLA,follow_back_within_seed
LaraLeaTrump,TuckerCarlson,follow_back_within_seed
LaraLeaTrump,TrumpChicago,follow_back_within_seed
LaraLeaTrump,IvankaTrump,follow_back_within_seed
LaraLeaTrump,JesseBWatters,follow_back_within_seed
LaraLeaTrump,IngrahamAngle,follow_back_within_seed
LaraLeaTrump,elonmusk,follow_back_within_seed
LaraLeaTrump,GeraldoRivera,follow_back_within_seed
LaraLeaTrump,TiffanyATrump,follow_back_within_seed
SenMcConnell,Mike_Pence,follow_back_within_seed
SenMcConnell,PressSec45,follow_back_within_seed
SenMcConnell,realDonaldTrump,follow_back_within_seed
SenMcConnell,WhiteHouse45,follow_back_within_seed
MariaBartiromo,GeraldoRivera,follow_back_within_seed
MariaBartiromo,MELANIATRUMP,follow_back_within_seed
MariaBartiromo,DiamondandSilk,follow_back_within_seed
MariaBartiromo,SpeakerMcCarthy,follow_back_within_seed
RonnaMcDaniel,KatrinaCampins,follow_back_within_seed
RonnaMcDaniel,parscale,follow_back_within_seed
RonnaMcDaniel,GeraldoRivera,follow_back_within_seed
RonnaMcDaniel,MrsVanessaTrump,follow_back_within_seed
RonnaMcDaniel,SenMcConnell,follow_back_within_seed
RonnaMcDaniel,SpeakerMcCarthy,follow_back_within_seed
RonnaMcDaniel,seanhannity,follow_back_within_seed
RonnaMcDaniel,MarkBurnettTV,follow_back_within_seed
RonnaMcDaniel,Trump,follow_back_within_seed
RonnaMcDaniel,CLewandowski_,follow_back_within_seed
greta,Reince,follow_back_within_seed
greta,kimguilfoyle,follow_back_within_seed
greta,MariaBartiromo,follow_back_within_seed
greta,GeraldoRivera,follow_back_within_seed
greta,MarkBurnettTV,follow_back_within_seed
greta,MrsVanessaTrump,follow_back_within_seed
foxandfriends,EricTrump,follow_back_within_seed
foxandfriends,LaraLeaTrump,follow_back_within_seed
ericbolling,MarkBurnettTV,follow_back_within_seed
ericbolling,KatrinaCampins,follow_back_within_seed
ericbolling,kimguilfoyle,follow_back_within_seed
ericbolling,worldlibertyfi,follow_back_within_seed
MarkMeadows,SpeakerMcCarthy,follow_back_within_seed
MarkMeadows,elonmusk,follow_back_within_seed
TiffanyATrump,MrsVanessaTrump,follow_back_within_seed
TiffanyATrump,Reince,follow_back_within_seed
TiffanyATrump,Trump,follow_back_within_seed
TiffanyATrump,kimguilfoyle,follow_back_within_seed
TiffanyATrump,EricTrump,follow_back_within_seed
TiffanyATrump,MELANIATRUMP,follow_back_within_seed
TiffanyATrump,DanScavino,follow_back_within_seed
TiffanyATrump,RonnaMcDaniel,follow_back_within_seed
TiffanyATrump,KellyannePolls,follow_back_within_seed
TiffanyATrump,parscale,follow_back_within_seed
TiffanyATrump,SpeakerMcCarthy,follow_back_within_seed
TiffanyATrump,Scavino45,follow_back_within_seed
TiffanyATrump,TeamTrump,follow_back_within_seed
TiffanyATrump,MariaBartiromo,follow_back_within_seed
TiffanyATrump,Jim_Jordan,follow_back_within_seed
TiffanyATrump,elonmusk,follow_back_within_seed
garyplayer,LouDobbs,follow_back_within_seed
garyplayer,DonaldJTrumpJr,follow_back_within_seed
garyplayer,EricTrump,follow_back_within_seed
Reince,parscale,follow_back_within_seed
Reince,SpeakerMcCarthy,follow_back_within_seed
Reince,foxandfriends,follow_back_within_seed
Reince,greta,follow_back_within_seed
Reince,KellyannePolls,follow_back_within_seed
Reince,LaraLeaTrump,follow_back_within_seed
Reince,JesseBWatters,follow_back_within_seed
Reince,SenMcConnell,follow_back_within_seed
Reince,seanhannity,follow_back_within_seed
Reince,TuckerCarlson,follow_back_within_seed
Reince,LouDobbs,follow_back_within_seed
Reince,IngrahamAngle,follow_back_within_seed
Reince,DonaldJTrumpJr,follow_back_within_seed
Reince,Mike_Pence,follow_back_within_seed
Reince,EricTrump,follow_back_within_seed
Reince,realDonaldTrump,follow_back_within_seed
Reince,IvankaTrump,follow_back_within_seed
Reince,MarkMeadows,follow_back_within_seed
Reince,MELANIATRUMP,follow_back_within_seed
