id,username,label,followers_count,following_count,verified,role
100108639,0xZhao888,Zhao 🥷🔶🦅,11669,6661,True,seed_following
1954700147767853056,ALT5_Sigma,ALTS,22959,18,True,seed_following
55705976,ASwoyer,Alex Swoyer,14062,3877,True,seed_following
19742034,AlexMarlow,Alex Marlow,71498,299,True,seed_following
42347548,AlexisWilkins,Alexis Wilkins,105643,1193,True,seed_following
1535590533698945024,Alpha_MEXC,MEXC Alpha,346622,220,True,seed_following
958118843636854784,AltcoinDaily,Altcoin Daily,2121236,740,True,seed_following
16549501,AndrewKolvet,Andrew Kolvet,275421,1846,True,seed_following
983766825610694656,AndrewPollackFL,Andrew Pollack,362512,742,True,seed_following
1789908971953799168,Aster_DEX,Aster 🥷,307705,117,True,seed_following
1297651178256257024,AutismCapital,Autism Capital ������,1213275,0,True,seed_following
1480625747723177988,Average_NY_Guy,AP,44432,4416,True,seed_following
1254142319646867456,Badhombre,Bad Hombre,212749,1411,True,seed_following
1815733680335450113,Bannons_WarRoom,Bannon’s WarRoom,309277,18,True,seed_following
1366200472705536002,BenTallmadge01,Ben Tallmadge,7377,975,True,seed_following
1092181103979446272,BeniRaeHarmony,Beni Rae Harmony,63022,243,True,seed_following
26816594,BioLayne,"Layne Norton, PhD",229545,335,True,seed_following
386794847,BirchGold,Birch Gold Group,3614,461,True,seed_following
1451753384764116994,BowTiedRanger,BowTiedRanger,109608,300,True,seed_following
1882410793922146304,Brandi151797,Brandi Reynolds,620,186,True,seed_following
1674180920490770433,BrianTerry180,BrianTerry180,1764,503,True,seed_following
2327400218,C_3C_3,C3,319972,8747,True,seed_following
991470575846658048,CantaloupeNews,Cantaloupe News,35026,128,False,seed_following
1217185399166074885,CarlosGimenezFL,Carlos A. Gimenez,13531,223,False,seed_following
2361631088,CathieDWood,Cathie Wood,2182841,510,True,seed_following
2006398816933851136,ChairmanSelig,Mike Selig,10220,36,True,seed_following
1333648083041718273,CoinWingsIO,CoinWings,24322,1075,True,seed_following
1394116333390884865,CryptoNotaz,Notaz.eth 💎,22159,2839,True,seed_following
1910742306820378624,DAGToddBlanche,Acting AG Todd Blanche,115280,30,True,seed_following
1031747223569227776,DarrenJBeattie,Darren J. Beattie ������,375402,94,True,seed_following
1320917783597625349,DataRepublican,DataRepublican (small r),942496,4846,True,seed_following
1471899548331257867,DaveMcCormickPA,Dave McCormick,70427,195,True,seed_following
66369181,DeptofWar,Department of War 🇺🇸,7140479,673,True,seed_following
1380265270137257987,DeputySecState,Christopher Landau,310852,337,True,seed_following
2908170952,DiamondandSilk,Diamond and Silk®,2430474,116,True,seed_following
91882544,DineshDSouza,Dinesh D'Souza,5456098,10395,True,seed_following
392739061,DividendMaster,Dividend Master,14306,1960,False,seed_following
39344374,DonaldJTrumpJr,Donald Trump Jr.,16241024,2322,True,seed
1982897967863652352,EBTofTikTok,EBT of TikTok,49920,0,True,seed_following
1955324095484268544,EdMartinDOJ,Ed Martin,86558,134,True,seed_following
1290635110149169152,ElectionWiz,Election Wizard,585055,4370,True,seed_following
814375707241488384,FII_Institute1,FII Institute,98511,508,False,seed_following
1344356576786866176,FmrRepMTG,Former Congresswoman Marjorie Taylor Greene🇺🇸,5440572,911,True,seed_following
1281457267582177280,GRDecter,"Genevieve Roch-Decter, CFA",416630,1020,True,seed_following
1080870981877534720,GovBraun,Governor Mike Braun,67173,388,True,seed_following
1058807868,GovRonDeSantis,Ron DeSantis,6036498,1,True,seed_following
1467931973616386052,GunRightsPrez,Dudley Brown,1697291,999,True,seed_following
1355721251180961792,GuntherEagleman,Gunther Eagleman™,1737772,103263,True,seed_following
27083523,GuyFieri,Mayor Guy Fieri,3248452,497,True,seed_following
21822997,HotepJesus,Hotep Jesus,303214,1862,True,seed_following
212044538,HunterNation,Hunter Nation,8839,529,True,seed_following
948548906,InnaVernikov,Councilwoman Inna Vernikov,60098,1337,True,seed_following
950231737518321666,Jackyi_ld,JackYi,77988,728,True,seed_following
21252618,JakeSherman,Jake Sherman,464249,3958,True,seed_following
1073773247743836161,JayneZirkle,Jayne Zirkle,54620,1598,True,seed_following
39067753,JeffMillerCA2TX,(((Jeff Miller))),4529,1855,False,seed_following
18166778,Jim_Jordan,Rep. Jim Jordan,6830449,3633,True,seed_following
28626088,JoshYoung,Josh Young,131230,2526,True,seed_following
1074753618,JoshuaLisec,"Joshua Lisec, The Ghostwriter",76031,1376,True,seed_following
1082197856,KariLake,Kari Lake,3105804,1113,True,seed_following
240504013,KatieMiller,Katie Miller,225507,905,True,seed_following
1121181,KiteVC,Bill Tai,38110,2808,True,seed_following
18482836,Kristinawong,Kristina Wong ������������,138232,3390,True,seed_following
1742962403887788032,LAGovJeffLandry,Governor Jeff Landry,27909,370,False,seed_following
1490466596531355650,LarryJones,������������ Larry ������������,177287,3708,True,seed_following
1102987848741998592,LaurenWitzkeDE,Lauren Witzke,254882,2465,True,seed_following
1828804660729114624,LumaGroup_,Luma Group,125,13,True,seed_following
1476321387581255692,MakaveliMemez,Makaveli Memez,20733,790,True,seed_following
926533381525069826,MarkPaoletta,Mark Paoletta,43324,2845,True,seed_following
1139217161275101184,MaryBowdenMD,Mary Talley Bowden MD,628950,12146,True,seed_following
805532293951606785,MattWallace888,Matt Wallace,2376400,12777,True,seed_following
17946674,Matt_Hougan,Matt Hougan,96727,528,True,seed_following
3282973915,MedianPolitics,Median Politics,26722,5124,True,seed_following
58560480,MichaelDell,Michael Dell 🇺🇸,1831872,4149,True,seed_following
1405410944608477185,MrsErikaKirk,Erika Kirk,1009982,27,True,seed_following
1805622878550843392,MurrayHillGuy1,Murray Hill Guy,66511,802,True,seed_following
20545835,NEWSMAX,NEWSMAX,3656918,830,True,seed_following
35787166,NICKIMINAJ,Nicki Minaj,26216877,6993,True,seed_following
1432200636557250561,NJBeisner,Natalie Jean Beisner,117066,7458,True,seed_following
1447181720,NYSDEC,New York State Dept. of Environmental Conservation,44401,563,False,seed_following
1479290779709239296,NanLee1124,NanLee Marie Carissimi,99565,27252,True,seed_following
106711386,NoahPollak,Noah Pollak,63321,1369,True,seed_following
1423097842034528257,NotSoEasyMoney,Easy,144146,4670,True,seed_following
1213227521392558080,Oilfield_Rando,Oilfield Rando,253290,3790,True,seed_following
7597712,PJMedia_com,PJ Media,71161,28758,True,seed_following
25533583,PatriotPost,The Patriot Post,12814,395,True,seed_following
1901991362645626880,PeakOneX,Peak,15900,1085,True,seed_following
14710129,PeterDiamandis,"Peter H. Diamandis, MD",370270,829,True,seed_following
765255265503543296,ProfMJCleveland,Margot Cleveland,265205,3561,True,seed_following
1081117524,RCMaxw3ll,R.C. Maxwell 🇺🇸,168134,996,True,seed_following
216881337,RandPaul,Rand Paul,5956500,811,True,seed_following
1609617100175196160,RealEJAntoni,"E.J. Antoni, Ph.D.",90809,548,True,seed_following
1339006078688825344,RepBarryMoore,Rep. Barry Moore,24805,790,True,seed_following
1136060761422405633,RepFredKeller,Congressman Fred Keller,15155,704,False,seed_following
1578455747263766528,RepHageman,Rep. Harriet Hageman,96589,205,True,seed_following
1610230835289923584,RepLuna,Rep. Anna Paulina Luna,596052,363,True,seed_following
1080477288955826176,RepMarkGreen,Rep. Mark Green,121295,1186,True,seed_following
1611138873496637440,RepMillsPress,Rep. Cory Mills ������������,60448,431,True,seed_following
1494513441234636815,RickyDoggin,A Man Of Memes,694966,33060,True,seed_following
2288462990,Ricky_Vaughn99,Ricky Vaughn,38280,1062,True,seed_following
1240107944,RogerMarshallMD,Dr. Roger Marshall,79968,334,True,seed_following
1886875846473879552,SecKennedy,Secretary Kennedy,1214674,2,True,seed_following
1603540143872385026,SenEricSchmitt,Senator Eric Schmitt,66516,440,True,seed_following
404422077,SquawkCNBC,Squawk Box,656884,1261,True,seed_following
1090287502475317248,TABYTCHI,Taylor Day,57579,2033,True,seed_following
896731633704947712,TPostMillennial,The Post Millennial,438416,2564,True,seed_following
94543804,TansuYegen,Tansu Yegen,1667290,2485,True,seed_following
1616613165864714242,Th_Midwesterner,The Midwesterner,12778,3,True,seed_following
1212806053907185664,TheLeoTerrell,LeoTerrell,2693148,186,True,seed_following
1630649273191743488,TimSheehyMT,Tim Sheehy,120084,47,True,seed_following
18266688,TomFitton,Tom Fitton,3276402,5072,True,seed_following
297948413,TriciaOhio,Tricia McLaughlin,116588,4592,True,seed_following
