source,target,type
Jim_Jordan,karr_pe,seed_follows
Jim_Jordan,HomelandGOP,seed_follows
Jim_Jordan,Loyal_Eagle,seed_follows
Jim_Jordan,markhartshorn,seed_follows
Jim_Jordan,kilmeade,seed_follows
Jim_Jordan,RepBarryMoore,seed_follows
Jim_Jordan,RealWashoeGOP,seed_follows
Jim_Jordan,AddisonSmithTV,seed_follows
Jim_Jordan,scooterrat,seed_follows
Jim_Jordan,StephanieMHill,seed_follows
Jim_Jordan,tweetsoul,seed_follows
Jim_Jordan,robfestenstein,seed_follows
Jim_Jordan,Briefing__Room,seed_follows
Jim_Jordan,VeredAr,seed_follows
Jim_Jordan,lakelaliz,seed_follows
Jim_Jordan,NEWSMAX,seed_follows
Jim_Jordan,paulvseale,seed_follows
Jim_Jordan,SZilberstein,seed_follows
Jim_Jordan,nebeenews_il,seed_follows
Jim_Jordan,Beaufort_TParty,seed_follows
Jim_Jordan,RepFitzgerald,seed_follows
Jim_Jordan,mattgaetz,seed_follows
Jim_Jordan,AlanDana,seed_follows
Jim_Jordan,CyberneticRon,seed_follows
Jim_Jordan,erickbrockway,seed_follows
Jim_Jordan,mjsamuelson,seed_follows
Jim_Jordan,Wandafay,seed_follows
Jim_Jordan,RepRussellFry,seed_follows
Jim_Jordan,ChazOswald,seed_follows
Jim_Jordan,ginthegin,seed_follows
Jim_Jordan,foxnewstalk,seed_follows
Jim_Jordan,LyzzPickle,seed_follows
Jim_Jordan,OHCircuitRider,seed_follows
Jim_Jordan,SAK68,seed_follows
Jim_Jordan,Buckeye_44,seed_follows
Jim_Jordan,DavidBreyer,seed_follows
Jim_Jordan,chrisfaulkner,seed_follows
Jim_Jordan,DanaPerino,seed_follows
Jim_Jordan,BonillaJL,seed_follows
Jim_Jordan,TejasKat,seed_follows
Jim_Jordan,ConservaWonk,seed_follows
Jim_Jordan,931TheFan,seed_follows
Jim_Jordan,MAFamilyInst,seed_follows
Jim_Jordan,BlackMagic63,seed_follows
Jim_Jordan,JudiciaryGOP,seed_follows
Jim_Jordan,Politisite,seed_follows
Jim_Jordan,robmacomber,seed_follows
Jim_Jordan,RegularGuyRant,seed_follows
Jim_Jordan,roll61123,seed_follows
Jim_Jordan,TomiLahren,seed_follows
Jim_Jordan,BryanMyrick,seed_follows
Jim_Jordan,svkenney,seed_follows
Jim_Jordan,RuthLieberman,seed_follows
Jim_Jordan,RepBenCline,seed_follows
Jim_Jordan,nachamasol,seed_follows
Jim_Jordan,Thrill_Mill,seed_follows
Jim_Jordan,Mattphilbin,seed_follows
Jim_Jordan,SuzieMarcy,seed_follows
Jim_Jordan,johncassil,seed_follows
Jim_Jordan,jayaygum,seed_follows
Jim_Jordan,SidArthurNYC,seed_follows
Jim_Jordan,JENin140,seed_follows
Jim_Jordan,TaylorPopielarz,seed_follows
Jim_Jordan,JDurham67,seed_follows
Jim_Jordan,TomFitton,seed_follows
Jim_Jordan,karibowieHertel,seed_follows
Jim_Jordan,luiszaff,seed_follows
Jim_Jordan,SpeakerMcCarthy,seed_follows
Jim_Jordan,Dan_Schwartz,seed_follows
Jim_Jordan,PatriotWatchdog,seed_follows
Jim_Jordan,sand3633,seed_follows
Jim_Jordan,TheIHS,seed_follows
Jim_Jordan,MasonRaeDixon,seed_follows
Jim_Jordan,VintageAESwindy,seed_follows
Jim_Jordan,JohnWilke,seed_follows
Jim_Jordan,MarshaBlackburn,seed_follows
Jim_Jordan,AmericaRpts,seed_follows
Jim_Jordan,JesseBWatters,seed_follows
Jim_Jordan,SpectrumNews1OH,seed_follows
Jim_Jordan,DStefanskiAZ,seed_follows
Jim_Jordan,knssradio,seed_follows
Jim_Jordan,SusanHW,seed_follows
Jim_Jordan,Beregond,seed_follows
Jim_Jordan,kimsch,seed_follows
Jim_Jordan,JoshSweigart,seed_follows
Jim_Jordan,jtdewitt,seed_follows
Jim_Jordan,GregCorombos,seed_follows
Jim_Jordan,ZanP,seed_follows
Jim_Jordan,StephenAltman,seed_follows
Jim_Jordan,amyjaynehawkins,seed_follows
Jim_Jordan,ThunderPig,seed_follows
Jim_Jordan,markfinkelstein,seed_follows
Jim_Jordan,RepHageman,seed_follows
Jim_Jordan,SenJohnKennedy,seed_follows
Jim_Jordan,bennyjohnson,seed_follows
Jim_Jordan,JPFreire,seed_follows
Jim_Jordan,sguggenheim,seed_follows
Jim_Jordan,FmrRepMattGaetz,seed_follows
Jim_Jordan,DonaldJTrumpJr,seed_follows
Jim_Jordan,dbongino,seed_follows
Jim_Jordan,DineshDSouza,seed_follows
Jim_Jordan,marklevinshow,seed_follows
Jim_Jordan,tedcruz,seed_follows
Jim_Jordan,RandPaul,seed_follows
Jim_Jordan,kayleighmcenany,seed_follows
Jim_Jordan,RepBoebert,seed_follows
Jim_Jordan,seanhannity,seed_follows
Jim_Jordan,SenTedCruz,seed_follows
Jim_Jordan,HarmeetKDhillon,seed_follows
Jim_Jordan,Republicans,seed_follows
Jim_Jordan,AndrewKolvet,seed_follows
Jim_Jordan,JenningsShow,seed_follows
Jim_Jordan,davidshepardson,seed_follows
Jim_Jordan,FBIDirectorKash,seed_follows
Jim_Jordan,kaitlancollins,seed_follows
Jim_Jordan,SteveGuest,seed_follows
Jim_Jordan,SenJonHusted,seed_follows
Jim_Jordan,CongMikeSimpson,seed_follows
Jim_Jordan,BrianNievesDOJ,seed_follows
Jim_Jordan,SecKennedy,seed_follows
Jim_Jordan,SecRubio,seed_follows
Jim_Jordan,EuroConOfficial,seed_follows
Jim_Jordan,WhiteHouse,seed_follows
Jim_Jordan,SusanManchester,seed_follows
Jim_Jordan,RepBaumgartner,seed_follows
Jim_Jordan,barstoolsports,seed_follows
Jim_Jordan,GunOwners,seed_follows
Jim_Jordan,MizellPreston,seed_follows
Jim_Jordan,tim_cook,seed_follows
Jim_Jordan,JoeTalkShow,seed_follows
Jim_Jordan,RapidResponse47,seed_follows
Jim_Jordan,Kash_Patel,seed_follows
Jim_Jordan,JackWhitfieldKY,seed_follows
Jim_Jordan,jk_rowling,seed_follows
Jim_Jordan,NickAdamsinUSA,seed_follows
Jim_Jordan,RepMichaelRulli,seed_follows
Jim_Jordan,julie_kelly2,seed_follows
Jim_Jordan,ggreenwald,seed_follows
Jim_Jordan,RepPfluger,seed_follows
Jim_Jordan,Rep_Davidson,seed_follows
Jim_Jordan,sagesteele,seed_follows
Jim_Jordan,DaytonMBB,seed_follows
Jim_Jordan,MarkBlazor,seed_follows
Jim_Jordan,Acyn,seed_follows
Jim_Jordan,AnnieChestnut,seed_follows
Jim_Jordan,TCNetwork,seed_follows
Jim_Jordan,JohnAshbrook,seed_follows
Jim_Jordan,PhilHollowayEsq,seed_follows
Jim_Jordan,gregg_re,seed_follows
Jim_Jordan,jtbickley,seed_follows
Jim_Jordan,SethDillon,seed_follows
Jim_Jordan,America1stLegal,seed_follows
Jim_Jordan,Weaponization,seed_follows
Jim_Jordan,danielchaitin7,seed_follows
Jim_Jordan,greg_price11,seed_follows
Jim_Jordan,JusticeTristan,seed_follows
Jim_Jordan,mtaibbi,seed_follows
Jim_Jordan,RepWPH,seed_follows
Jim_Jordan,RepNateMoran,seed_follows
Jim_Jordan,RepKiley,seed_follows
Jim_Jordan,RepLaurelLee,seed_follows
Jim_Jordan,elonmusk,seed_follows
Jim_Jordan,JackBrewerBSI,seed_follows
Jim_Jordan,StrictSpeaking,seed_follows
Jim_Jordan,BillMelugin_,seed_follows
Jim_Jordan,LevineJonathan,seed_follows
Jim_Jordan,JoelWGibbonsV,seed_follows
Jim_Jordan,FunctionalGov,seed_follows
Jim_Jordan,AdrianaCohen88,seed_follows
Jim_Jordan,SchmittNYC,seed_follows
Jim_Jordan,StephenM,seed_follows
Jim_Jordan,RogerMarshallMD,seed_follows
Jim_Jordan,stoolpresidente,seed_follows
Jim_Jordan,HouseIntel,seed_follows
Jim_Jordan,themarketswork,seed_follows
Jim_Jordan,asholiver,seed_follows
Jim_Jordan,AustinScottGA08,seed_follows
Jim_Jordan,Congressman_JVD,seed_follows
Jim_Jordan,DungNgu55358373,seed_follows
Jim_Jordan,RepKatCammack,seed_follows
Jim_Jordan,RepTroyNehls,seed_follows
Jim_Jordan,Timcast,seed_follows
Jim_Jordan,robbystarbuck,seed_follows
Jim_Jordan,RepMaryMiller,seed_follows
Jim_Jordan,jasonrantz,seed_follows
Jim_Jordan,burackbobby_,seed_follows
Jim_Jordan,RyanTAnd,seed_follows
Jim_Jordan,RepBurgessOwens,seed_follows
Jim_Jordan,RepBentz,seed_follows
Jim_Jordan,RepSpartz,seed_follows
Jim_Jordan,RepFischbach,seed_follows
Jim_Jordan,RepDanBishop,seed_follows
Jim_Jordan,JakeBGibson,seed_follows
Jim_Jordan,jason_donner,seed_follows
Jim_Jordan,JaniceDean,seed_follows
Jim_Jordan,chrispavlovski,seed_follows
Jim_Jordan,jimmyfailla,seed_follows
Jim_Jordan,DavidPerdueGA,seed_follows
Jim_Jordan,ColbyCovMMA,seed_follows
Jim_Jordan,Nefertari_25,seed_follows
elonmusk,DonaldJTrumpJr,follow_back_within_seed
elonmusk,seanhannity,follow_back_within_seed
elonmusk,SpeakerMcCarthy,follow_back_within_seed
DonaldJTrumpJr,Jim_Jordan,follow_back_within_seed
tim_cook,elonmusk,follow_back_within_seed
seanhannity,elonmusk,follow_back_within_seed
dbongino,DonaldJTrumpJr,follow_back_within_seed
dbongino,tedcruz,follow_back_within_seed
dbongino,Jim_Jordan,follow_back_within_seed
dbongino,RandPaul,follow_back_within_seed
dbongino,DineshDSouza,follow_back_within_seed
dbongino,marklevinshow,follow_back_within_seed
dbongino,bennyjohnson,follow_back_within_seed
dbongino,kayleighmcenany,follow_back_within_seed
dbongino,NEWSMAX,follow_back_within_seed
dbongino,JesseBWatters,follow_back_within_seed
dbongino,mattgaetz,follow_back_within_seed
dbongino,TomFitton,follow_back_within_seed
dbongino,FmrRepMattGaetz,follow_back_within_seed
dbongino,SpeakerMcCarthy,follow_back_within_seed
dbongino,TomiLahren,follow_back_within_seed
dbongino,DanaPerino,follow_back_within_seed
dbongino,kilmeade,follow_back_within_seed
tedcruz,DonaldJTrumpJr,follow_back_within_seed
tedcruz,seanhannity,follow_back_within_seed
tedcruz,dbongino,follow_back_within_seed
tedcruz,Jim_Jordan,follow_back_within_seed
tedcruz,RandPaul,follow_back_within_seed
tedcruz,DineshDSouza,follow_back_within_seed
tedcruz,marklevinshow,follow_back_within_seed
tedcruz,WhiteHouse,follow_back_within_seed
tedcruz,SenTedCruz,follow_back_within_seed
tedcruz,bennyjohnson,follow_back_within_seed
tedcruz,kayleighmcenany,follow_back_within_seed
tedcruz,NEWSMAX,follow_back_within_seed
tedcruz,JesseBWatters,follow_back_within_seed
tedcruz,TomFitton,follow_back_within_seed
tedcruz,FBIDirectorKash,follow_back_within_seed
tedcruz,RapidResponse47,follow_back_within_seed
tedcruz,StephenM,follow_back_within_seed
tedcruz,AndrewKolvet,follow_back_within_seed
RandPaul,seanhannity,follow_back_within_seed
RandPaul,dbongino,follow_back_within_seed
RandPaul,tedcruz,follow_back_within_seed
RandPaul,Jim_Jordan,follow_back_within_seed
RandPaul,DineshDSouza,follow_back_within_seed
RandPaul,marklevinshow,follow_back_within_seed
RandPaul,SenTedCruz,follow_back_within_seed
RandPaul,bennyjohnson,follow_back_within_seed
RandPaul,NEWSMAX,follow_back_within_seed
RandPaul,JesseBWatters,follow_back_within_seed
RandPaul,mattgaetz,follow_back_within_seed
RandPaul,FmrRepMattGaetz,follow_back_within_seed
RandPaul,SpeakerMcCarthy,follow_back_within_seed
RandPaul,Timcast,follow_back_within_seed
RandPaul,RapidResponse47,follow_back_within_seed
RandPaul,StephenM,follow_back_within_seed
RandPaul,SenJohnKennedy,follow_back_within_seed
RandPaul,HarmeetKDhillon,follow_back_within_seed
RandPaul,RepDanBishop,follow_back_within_seed
DineshDSouza,dbongino,follow_back_within_seed
DineshDSouza,tedcruz,follow_back_within_seed
DineshDSouza,Jim_Jordan,follow_back_within_seed
DineshDSouza,RandPaul,follow_back_within_seed
DineshDSouza,marklevinshow,follow_back_within_seed
DineshDSouza,bennyjohnson,follow_back_within_seed
DineshDSouza,NEWSMAX,follow_back_within_seed
DineshDSouza,JesseBWatters,follow_back_within_seed
DineshDSouza,mattgaetz,follow_back_within_seed
DineshDSouza,TomFitton,follow_back_within_seed
DineshDSouza,FmrRepMattGaetz,follow_back_within_seed
DineshDSouza,SpeakerMcCarthy,follow_back_within_seed
DineshDSouza,TomiLahren,follow_back_within_seed
DineshDSouza,MarshaBlackburn,follow_back_within_seed
WhiteHouse,RapidResponse47,follow_back_within_seed
SenTedCruz,elonmusk,follow_back_within_seed
SenTedCruz,seanhannity,follow_back_within_seed
SenTedCruz,dbongino,follow_back_within_seed
SenTedCruz,tedcruz,follow_back_within_seed
